1. open,2. high,3. low,4. close,5. volume,text_representation,vectors
195.8,195.84,195.71,195.84,170.0,195.8 195.84 195.71 195.84 170.0,"  (0, 27)	0.4171690883074654
  (0, 79)	0.12211146506873478
  (0, 93)	0.8343381766149308
  (0, 32)	0.33902588234876385"
195.77,195.8,195.75,195.795,801.0,195.77 195.8 195.75 195.795 801.0,"  (0, 90)	0.524918620794338
  (0, 89)	0.524918620794338
  (0, 86)	0.2905890103088516
  (0, 88)	0.42719804525269806
  (0, 32)	0.42659200684815446"
195.75,195.77,195.745,195.76,225.0,195.75 195.77 195.745 195.76 225.0,"  (0, 39)	0.47291648479014414
  (0, 87)	0.47291648479014414
  (0, 85)	0.43395830266873464
  (0, 86)	0.2618012160931734
  (0, 88)	0.3848767977870638
  (0, 32)	0.3843307978156952"
195.71,195.75,195.71,195.745,71.0,195.71 195.75 195.71 195.745 71.0,"  (0, 85)	0.5712774979640958
  (0, 86)	0.34464404246652774
  (0, 79)	0.5467000897383703
  (0, 32)	0.5059461593808877"
195.73,195.75,195.71,195.74,107.0,195.73 195.75 195.71 195.74 107.0,"  (0, 5)	0.5783602061105864
  (0, 84)	0.44926693674522067
  (0, 82)	0.3340138522253146
  (0, 86)	0.3201736673798551
  (0, 79)	0.1692944517825034
  (0, 32)	0.4700230306794415"
195.75,195.75,195.72,195.73,39.0,195.75 195.75 195.72 195.73 39.0,"  (0, 51)	0.5117671163484299
  (0, 81)	0.21826304398489516
  (0, 82)	0.3220882651287304
  (0, 86)	0.6174844568824444
  (0, 32)	0.4532413895815537"
195.75,195.75,195.72,195.73,103.0,195.75 195.75 195.72 195.73 103.0,"  (0, 2)	0.5117671163484299
  (0, 81)	0.21826304398489516
  (0, 82)	0.3220882651287304
  (0, 86)	0.6174844568824444
  (0, 32)	0.4532413895815537"
195.73,195.75,195.71,195.75,20.0,195.73 195.75 195.71 195.75 20.0,"  (0, 33)	0.5500234078742359
  (0, 82)	0.31764882047061405
  (0, 86)	0.60897347287475
  (0, 79)	0.1609998584269967
  (0, 32)	0.4469942198344322"
195.74,195.75,195.71,195.71,32.0,195.74 195.75 195.71 195.71 32.0,"  (0, 46)	0.5859034714026764
  (0, 84)	0.4551265025573711
  (0, 86)	0.3243495337120658
  (0, 79)	0.34300495068851933
  (0, 32)	0.4761533079294107"
195.73,195.75,195.73,195.73,1229.0,195.73 195.75 195.73 195.73 1229.0,"  (0, 12)	0.4486216185963538
  (0, 82)	0.7772621634532328
  (0, 86)	0.24835185300493667
  (0, 32)	0.36458679309733905"
195.72,195.75,195.71,195.71,9.0,195.72 195.75 195.71 195.71 9.0,"  (0, 81)	0.32357803986071376
  (0, 86)	0.45771470642621975
  (0, 79)	0.48404080779874803
  (0, 32)	0.67193675001937"
195.72,195.75,195.7,195.735,1088.0,195.72 195.75 195.7 195.735 1088.0,"  (0, 6)	0.6059514122072379
  (0, 83)	0.4706996295777883
  (0, 81)	0.23714238425619957
  (0, 86)	0.3354478469483388
  (0, 32)	0.49244591208212496"
195.75,195.75,195.72,195.72,527.0,195.75 195.75 195.72 195.72 527.0,"  (0, 57)	0.5346041780408051
  (0, 81)	0.41844051143349414
  (0, 86)	0.5919016504644838
  (0, 32)	0.4344632865847365"
195.72,195.75,195.72,195.72,562.0,195.72 195.75 195.72 195.72 562.0,"  (0, 60)	0.5467383976365007
  (0, 81)	0.6419071458600284
  (0, 86)	0.3026681919315745
  (0, 32)	0.4443245505670102"
195.735,195.75,195.72,195.75,12.0,195.735 195.75 195.72 195.75 12.0,"  (0, 10)	0.5239364399368672
  (0, 83)	0.4069908630169916
  (0, 81)	0.20504537832950975
  (0, 86)	0.580090572194232
  (0, 32)	0.4257938059719077"
195.73,195.735,195.72,195.72,109.0,195.73 195.735 195.72 195.72 109.0,"  (0, 7)	0.5581433125386681
  (0, 83)	0.4335625681707633
  (0, 81)	0.4368648483215531
  (0, 82)	0.32233821750729524
  (0, 32)	0.45359312162414983"
195.71,195.73,195.71,195.72,14.0,195.71 195.73 195.71 195.72 14.0,"  (0, 17)	0.63374123503738
  (0, 81)	0.24801808272184392
  (0, 82)	0.3659974337660249
  (0, 79)	0.3710105703126662
  (0, 32)	0.5150302057639254"
195.73,195.73,195.71,195.73,131.0,195.73 195.73 195.71 195.73 131.0,"  (0, 16)	0.4589336478123496
  (0, 82)	0.7951283335301355
  (0, 79)	0.134336559621601
  (0, 32)	0.3729671954371752"
195.74,195.75,195.74,195.75,82.0,195.74 195.75 195.74 195.75 82.0,"  (0, 91)	0.4343750347319591
  (0, 84)	0.6748401400746167
  (0, 86)	0.48093021068531516
  (0, 32)	0.35300884832516494"
195.75,195.75,195.71,195.73,17.0,195.75 195.75 195.71 195.73 17.0,"  (0, 26)	0.5172236960121752
  (0, 82)	0.3255224448977875
  (0, 86)	0.6240682193448406
  (0, 79)	0.16499059390715423
  (0, 32)	0.4580739543754874"
195.72,195.73,195.71,195.73,151.0,195.72 195.73 195.71 195.73 151.0,"  (0, 21)	0.55612185639318
  (0, 81)	0.21764131629246705
  (0, 82)	0.6423415774392409
  (0, 79)	0.16278496308639484
  (0, 32)	0.4519503202456154"
195.72,195.75,195.72,195.75,4.0,195.72 195.75 195.72 195.75 4.0,"  (0, 81)	0.4951357630676081
  (0, 86)	0.7003903000684697
  (0, 32)	0.5140953255004918"
195.715,195.74,195.71,195.73,231.0,195.715 195.74 195.71 195.73 231.0,"  (0, 41)	0.5757595937659031
  (0, 80)	0.3325119498844986
  (0, 84)	0.4472467957856364
  (0, 82)	0.3325119498844986
  (0, 79)	0.16853321469091181
  (0, 32)	0.4679095593808359"
195.715,195.72,195.71,195.715,29.0,195.715 195.72 195.71 195.715 29.0,"  (0, 45)	0.523251345963478
  (0, 80)	0.6586320725339696
  (0, 81)	0.22316094155105165
  (0, 79)	0.1669133703634488
  (0, 32)	0.4634122818149934"
195.735,195.735,195.715,195.715,205.0,195.735 195.735 195.715 195.715 205.0,"  (0, 35)	0.4300050551323828
  (0, 80)	0.4966719474253158
  (0, 83)	0.6680509892042839
  (0, 32)	0.3494574437961205"
195.71,195.735,195.71,195.72,1545.0,195.71 195.735 195.71 195.72 1545.0,"  (0, 22)	0.6019567353727212
  (0, 83)	0.4675965872077065
  (0, 81)	0.2355790457280829
  (0, 79)	0.35240299880598924
  (0, 32)	0.4891995094207609"
195.71,195.715,195.71,195.715,10.0,195.71 195.715 195.71 195.715 10.0,"  (0, 0)	0.46989850488780727
  (0, 80)	0.66690328330543
  (0, 79)	0.33801899228713345
  (0, 32)	0.46923189008616145"
195.715,195.715,195.71,195.715,11.0,195.715 195.715 195.71 195.715 11.0,"  (0, 8)	0.38753183301123567
  (0, 80)	0.8250066210008624
  (0, 79)	0.13938448229891623
  (0, 32)	0.3869820665120724"
195.71,195.72,195.71,195.715,11.0,195.71 195.72 195.71 195.715 11.0,"  (0, 8)	0.5547487009412436
  (0, 80)	0.3936634467005485
  (0, 81)	0.2667659504704599
  (0, 79)	0.39905552989475174
  (0, 32)	0.553961714621018"
195.715,195.72,195.71,195.715,48.0,195.715 195.72 195.71 195.715 48.0,"  (0, 55)	0.55612185639318
  (0, 80)	0.6423415774392409
  (0, 81)	0.21764131629246705
  (0, 79)	0.16278496308639484
  (0, 32)	0.4519503202456154"
195.71,195.72,195.71,195.72,328.0,195.71 195.72 195.71 195.72 328.0,"  (0, 48)	0.5853104845037421
  (0, 81)	0.4992569625637398
  (0, 79)	0.3734195675987875
  (0, 32)	0.5183743325010969"
